# Written by the BoltzWann module of the Wannier90 code.
# [K coefficient in SI units, i.e. in W/m/K]
# [the K coefficient is defined in the documentation, and is an ingredient of
#  the thermal conductivity. See the docs for further information.]
# Mu(eV) Temp(K) Kappa_xx Kappa_xy Kappa_yy Kappa_xz Kappa_yz Kappa_zz
   5.170000000       300.0000000      0.1049615753E-01 -0.1157747176E-05  0.1052061599E-01 -0.1183781152E-04 -0.2036415546E-05  0.1046655539E-01
   5.170000000       500.0000000      0.3707322749     -0.7525127544E-04  0.3703447638     -0.4710639106E-03 -0.1119358368E-03  0.3696832139    
   5.170000000       700.0000000       1.947361256     -0.5583094058E-03   1.939687802     -0.2113899125E-02 -0.5503169838E-03   1.940112009    
   5.180000000       300.0000000      0.1430867200E-01 -0.1583499936E-05  0.1434140747E-01 -0.1623054130E-04 -0.2813579436E-05  0.1426850504E-01
   5.180000000       500.0000000      0.4380024322     -0.8976500628E-04  0.4375162096     -0.5565197911E-03 -0.1327136561E-03  0.4367590678    
   5.180000000       700.0000000       2.168370038     -0.6267831390E-03   2.159647085     -0.2342085742E-02 -0.6115509776E-03   2.160244275    
   5.190000000       300.0000000      0.1944721422E-01 -0.2159961057E-05  0.1949081388E-01 -0.2219562061E-04 -0.3879194882E-05  0.1939289790E-01
   5.190000000       500.0000000      0.5163429890     -0.1069122373E-03  0.5157337737     -0.6560043542E-03 -0.1570330357E-03  0.5148721359    
   5.190000000       700.0000000       2.410216339     -0.7027505336E-03   2.400308713     -0.2589240962E-02 -0.6782533898E-03   2.401120119    
   5.200000000       300.0000000      0.2634494749E-01 -0.2937713347E-05  0.2640270107E-01 -0.3026837306E-04 -0.5336435573E-05  0.2627177031E-01
   5.200000000       500.0000000      0.6072641836     -0.1271266957E-03  0.6065019715     -0.7714096299E-03 -0.1854101000E-03  0.6055277312    
   5.200000000       700.0000000       2.674047135     -0.7868597619E-03   2.662804020     -0.2855772301E-02 -0.7506353025E-03   2.663878638    
   5.210000000       300.0000000      0.3556293817E-01 -0.3982996985E-05  0.3563897331E-01 -0.4115312313E-04 -0.7323508464E-05  0.3546475107E-01
   5.210000000       500.0000000      0.7123929083     -0.1509016266E-03  0.7114407063     -0.9047608135E-03 -0.2184104052E-03  0.7103472872    
   5.210000000       700.0000000       2.960903239     -0.8797808117E-03   2.948156786     -0.3141805861E-02 -0.8288488507E-03   2.949552503    
   5.220000000       300.0000000      0.4782111461E-01 -0.5381909540E-05  0.4792052595E-01 -0.5577000473E-04 -0.1002463955E-04  0.4768995721E-01
