# Written by the BoltzWann module of the Wannier90 code.
# [Seebeck coefficient in SI units, i.e. in V/K]
# Mu(eV) Temp(K) Seebeck_xx Seebeck_xy Seebeck_xz Seebeck_yx Seebeck_yy Seebeck_yz Seebeck_zx Seebeck_zy Seebeck_zz
   5.060000000       700.0000000     -0.6370334218E-03  0.1706705659E-07 -0.2433769057E-07  0.1695896779E-07 -0.6364537515E-03  0.6483385112E-09 -0.2458707805E-07  0.8018904386E-09 -0.6368864598E-03
   5.070000000       300.0000000     -0.1195194305E-02  0.2616645007E-08  0.7370889022E-07  0.2542687216E-08 -0.1194719634E-02  0.2691381710E-07  0.7408197064E-07  0.2716712604E-07 -0.1195341863E-02
   5.070000000       500.0000000     -0.7997533159E-03  0.1408374724E-07  0.1628603574E-07  0.1398551752E-07 -0.7992588053E-03  0.1407307792E-07  0.1631101409E-07  0.1426244817E-07 -0.7997371994E-03
   5.070000000       700.0000000     -0.6227882076E-03  0.1706891616E-07 -0.2436673203E-07  0.1696083712E-07 -0.6222085446E-03  0.6385089842E-09 -0.2461631737E-07  0.7920487810E-09 -0.6226411613E-03
   5.080000000       300.0000000     -0.1161861179E-02  0.2616609000E-08  0.7370882524E-07  0.2542651358E-08 -0.1161386510E-02  0.2691386705E-07  0.7408190529E-07  0.2716717584E-07 -0.1162008737E-02
   5.080000000       500.0000000     -0.7797638533E-03  0.1408451450E-07  0.1627877132E-07  0.1398628970E-07 -0.7792693611E-03  0.1407130504E-07  0.1630370588E-07  0.1426066472E-07 -0.7797477184E-03
   5.080000000       700.0000000     -0.6085502498E-03  0.1707110791E-07 -0.2440096708E-07  0.1696304034E-07 -0.6079705953E-03  0.6269171116E-09 -0.2465078567E-07  0.7804426457E-09 -0.6084031042E-03
   5.090000000       300.0000000     -0.1128528151E-02  0.2616557693E-08  0.7370873151E-07  0.2542600268E-08 -0.1128053484E-02  0.2691393839E-07  0.7408181103E-07  0.2716724696E-07 -0.1128675709E-02
   5.090000000       500.0000000     -0.7597771403E-03  0.1408548245E-07  0.1626961145E-07  0.1398726385E-07 -0.7592826713E-03  0.1406906881E-07  0.1629449079E-07  0.1425841518E-07 -0.7597609822E-03
   5.090000000       700.0000000     -0.5943208386E-03  0.1707369051E-07 -0.2444131542E-07  0.1696563642E-07 -0.5937411940E-03  0.6132490582E-09 -0.2469140896E-07  0.7667578344E-09 -0.5941735760E-03
   5.100000000       300.0000000     -0.1095195267E-02  0.2616481469E-08  0.7370859237E-07  0.2542524365E-08 -0.1094720603E-02  0.2691404400E-07  0.7408167109E-07  0.2716735224E-07 -0.1095342825E-02
   5.100000000       500.0000000     -0.7397938931E-03  0.1408670367E-07  0.1625806230E-07  0.1398849289E-07 -0.7392994534E-03  0.1406624807E-07  0.1628287201E-07  0.1425557766E-07 -0.7397777058E-03
   5.100000000       700.0000000     -0.5801014901E-03  0.1707673272E-07 -0.2448885614E-07  0.1696869444E-07 -0.5795218569E-03  0.5971359423E-09 -0.2473927368E-07  0.7506250453E-09 -0.5799540895E-03
   5.110000000       300.0000000     -0.1061862596E-02  0.2616370391E-08  0.7370838805E-07  0.2542413754E-08 -0.1061387936E-02  0.2691420034E-07  0.7408146560E-07  0.2716750809E-07 -0.1062010153E-02
   5.110000000       500.0000000     -0.7198150142E-03  0.1408824458E-07  0.1624350181E-07  0.1399004365E-07 -0.7193206113E-03  0.1406268992E-07  0.1626822375E-07  0.1425199835E-07 -0.7197987901E-03
