# Written by the BoltzWann module of the Wannier90 code.
# [(Electrical conductivity * Seebeck coefficient) in SI units, i.e. in Ampere/m/K]
# Mu(eV) Temp(K) (Sigma*S)_xx (Sigma*S)_xy (Sigma*S)_yy (Sigma*S)_xz (Sigma*S)_yz (Sigma*S)_zz
   5.170000000       300.0000000      0.3960689289E-01 -0.4186892710E-05  0.3972045519E-01 -0.4141017306E-04 -0.6368354134E-05  0.3948861017E-01
   5.170000000       500.0000000       1.180612223     -0.2057230671E-03   1.180487960     -0.1503897824E-02 -0.3392032154E-03   1.177434813    
   5.170000000       700.0000000       5.447474551     -0.1362389145E-02   5.433010511     -0.6397906679E-02 -0.1596519473E-02   5.429366983    
   5.180000000       300.0000000      0.5605296380E-01 -0.5932304294E-05  0.5621240950E-01 -0.5880132944E-04 -0.9084071373E-05  0.5588595723E-01
   5.180000000       500.0000000       1.438196588     -0.2518549739E-03   1.437999539     -0.1833809103E-02 -0.4145938112E-03   1.434325296    
   5.180000000       700.0000000       6.225995820     -0.1565529603E-02   6.209176545     -0.7302152415E-02 -0.1825776308E-02   6.205233632    
   5.190000000       300.0000000      0.7919668521E-01 -0.8392338249E-05  0.7942000447E-01 -0.8338208673E-04 -0.1294446970E-04  0.7896132529E-01
   5.190000000       500.0000000       1.749544783     -0.3080247574E-03   1.749244545     -0.2233224083E-02 -0.5061960884E-03   1.744834700    
   5.190000000       700.0000000       7.106830084     -0.1797464442E-02   7.087274946     -0.8322768210E-02 -0.2085451178E-02   7.083048011    
   5.200000000       300.0000000      0.1116936610     -0.1185253146E-04  0.1120055827     -0.1180634312E-03 -0.1842501494E-04  0.1113626553    
   5.200000000       500.0000000       2.125051936     -0.3763166045E-03   2.124606827     -0.2715826750E-02 -0.6173200153E-03   2.119330160    
   5.200000000       700.0000000       8.101216964     -0.2061926185E-02   8.078484516     -0.9471837441E-02 -0.2378952060E-02   8.074005114    
   5.210000000       300.0000000      0.1572114846     -0.1670856318E-04  0.1576458092     -0.1669013307E-03 -0.2619495177E-04  0.1567470284    
   5.210000000       500.0000000       2.576824601     -0.4592132413E-03   2.576177706     -0.3297653086E-02 -0.7518907769E-03   2.569885643    
   5.210000000       700.0000000       9.221057841     -0.2363046538E-02   9.194636390     -0.1076190436E-01 -0.2709896913E-02   9.189957582    
   5.220000000       300.0000000      0.2207908385     -0.2350641832E-04  0.2213934525     -0.2355279281E-03 -0.3719429390E-04  0.2201407942    
   5.220000000       500.0000000       3.118846637     -0.5596598652E-03   3.117920544     -0.3997362461E-02 -0.9145404171E-03   3.110447399    
   5.220000000       700.0000000       10.47879055     -0.2705377774E-02   10.44808742     -0.1220573353E-01 -0.3082071882E-02   10.44329033    
