Atom,PeudoPotential,nexc,orbitals
Hg,pbe-dn-rrkjus_psl.1.0.0,0,spd
Tl,pbe-dn-rrkjus_psl.1.0.0,5,sp
Pb,pbe-dn-rrkjus_psl.1.0.0,5,sp
Bi,pbe-dn-rrkjus_psl.1.0.0,6,p
Po,pbe-dn-rrkjus_psl.1.0.0,6,p
At,pbe-dn-rrkjus_psl.1.0.0,6,p
Rn,pbe-dn-rrkjus_psl.1.0.0,6,p
Fr,pbe-spdn-kjpaw_psl.1.0.0,4,sp
Ra,pbe-spdn-kjpaw_psl.1.0.0,4,s
Ac,pbe-spfn-kjpaw_psl.1.0.0,4,
Th,pbe-spfn-kjpaw_psl.1.0.0,4,spd
Pa,pbe-spfn-kjpaw_psl.1.0.0,4,spd
U,pbe-spfn-kjpaw_psl.1.0.0,4,spd
Np,pbe-spfn-kjpaw_psl.1.0.0,4,spd
Pu,pbe-spfn-kjpaw_psl.1.0.0,4,spd
Am,pbe-spfn-kjpaw_psl.1.0.0,4,spd
Cm,,,
Bk,,,
Cf,,,
Es,,,
Fm,,,
Md,,,
No,,,
Lr,,,
Rf,,,
Db,,,
Sg,,,
Bh,,,
Hs,,,
Mt,,,
